"productid","name","standardcost"
802,"LL Fork","65.8097"
805,"LL Headset","15.1848"
943,"LL Mountain Frame - Black, 40","136.785"
924,"LL Mountain Frame - Black, 42","136.785"
925,"LL Mountain Frame - Black, 44","136.785"
926,"LL Mountain Frame - Black, 48","136.785"
927,"LL Mountain Frame - Black, 52","136.785"
944,"LL Mountain Frame - Silver, 40","144.5938"
917,"LL Mountain Frame - Silver, 42","144.5938"
918,"LL Mountain Frame - Silver, 44","144.5938"
919,"LL Mountain Frame - Silver, 48","144.5938"
920,"LL Mountain Frame - Silver, 52","144.5938"
815,"LL Mountain Front Wheel","26.9708"
808,"LL Mountain Handlebars","19.7758"
935,"LL Mountain Pedal","17.9776"
823,"LL Mountain Rear Wheel","38.9588"
908,"LL Mountain Seat/Saddle","12.0413"
928,"LL Mountain Tire","9.3463"
725,"LL Road Frame - Red, 44","187.1571"
726,"LL Road Frame - Red, 48","187.1571"
727,"LL Road Frame - Red, 52","187.1571"
729,"LL Road Frame - Red, 60","187.1571"
730,"LL Road Frame - Red, 62","187.1571"
811,"LL Road Handlebars","19.7758"
938,"LL Road Pedal","17.9776"
826,"LL Road Rear Wheel","49.9789"
911,"LL Road Seat/Saddle","12.0413"
931,"LL Road Tire","8.0373"
903,"LL Touring Frame - Blue, 44","199.8519"
895,"LL Touring Frame - Blue, 50","199.8519"
896,"LL Touring Frame - Blue, 54","199.8519"
897,"LL Touring Frame - Blue, 58","199.8519"
898,"LL Touring Frame - Blue, 62","199.8519"
899,"LL Touring Frame - Yellow, 44","199.8519"
900,"LL Touring Frame - Yellow, 50","199.8519"
902,"LL Touring Frame - Yellow, 58","199.8519"
886,"LL Touring Frame - Yellow, 62","199.8519"
946,"LL Touring Handlebars","20.464"
914,"LL Touring Seat/Saddle","12.0413"
713,"Long-Sleeve Logo Jersey, S","38.4923"
857,"Men's Bib-Shorts, L","37.1209"
856,"Men's Bib-Shorts, M","37.1209"
855,"Men's Bib-Shorts, S","37.1209"
850,"Men's Sports Shorts, L","24.7459"
849,"Men's Sports Shorts, M","24.7459"
841,"Men's Sports Shorts, S","24.7459"
844,"Minipump","8.2459"
950,"ML Crankset","113.8816"
806,"ML Headset","45.4168"
942,"ML Mountain Frame-W - Silver, 38","199.3757"
904,"ML Mountain Frame-W - Silver, 40","199.3757"
905,"ML Mountain Frame-W - Silver, 42","199.3757"
906,"ML Mountain Frame-W - Silver, 46","199.3757"
814,"ML Mountain Frame - Black, 38","185.8193"
830,"ML Mountain Frame - Black, 40","185.8193"
831,"ML Mountain Frame - Black, 44","185.8193"
832,"ML Mountain Frame - Black, 48","185.8193"
816,"ML Mountain Front Wheel","92.8071"
809,"ML Mountain Handlebars","27.4925"
936,"ML Mountain Pedal","27.568"
824,"ML Mountain Rear Wheel","104.7951"
909,"ML Mountain Seat/Saddle","17.3782"
929,"ML Mountain Tire","11.2163"
732,"ML Road Frame - Red, 48","352.1394"
733,"ML Road Frame - Red, 52","352.1394"
819,"ML Road Front Wheel","110.2829"
939,"ML Road Pedal","27.568"
827,"ML Road Rear Wheel","122.2709"
932,"ML Road Tire","9.3463"
915,"ML Touring Seat/Saddle","17.3782"
775,"Mountain-100 Black, 38","1898.0944"
776,"Mountain-100 Black, 42","1898.0944"
777,"Mountain-100 Black, 44","1898.0944"
778,"Mountain-100 Black, 48","1898.0944"
771,"Mountain-100 Silver, 38","1912.1544"
772,"Mountain-100 Silver, 42","1912.1544"
773,"Mountain-100 Silver, 44","1912.1544"
774,"Mountain-100 Silver, 48","1912.1544"
782,"Mountain-200 Black, 38","1251.9813"
783,"Mountain-200 Black, 42","1251.9813"
784,"Mountain-200 Black, 46","1251.9813"
779,"Mountain-200 Silver, 38","1265.6195"
780,"Mountain-200 Silver, 42","1265.6195"
781,"Mountain-200 Silver, 46","1265.6195"
785,"Mountain-300 Black, 38","598.4354"
786,"Mountain-300 Black, 40","598.4354"
787,"Mountain-300 Black, 44","598.4354"
788,"Mountain-300 Black, 48","598.4354"
980,"Mountain-400-W Silver, 38","419.7784"
981,"Mountain-400-W Silver, 40","419.7784"
982,"Mountain-400-W Silver, 42","419.7784"
983,"Mountain-400-W Silver, 46","419.7784"
989,"Mountain-500 Black, 40","294.5797"
990,"Mountain-500 Black, 42","294.5797"
991,"Mountain-500 Black, 44","294.5797"
992,"Mountain-500 Black, 48","294.5797"
993,"Mountain-500 Black, 52","294.5797"
984,"Mountain-500 Silver, 40","308.2179"
985,"Mountain-500 Silver, 42","308.2179"
986,"Mountain-500 Silver, 44","308.2179"
987,"Mountain-500 Silver, 48","308.2179"
988,"Mountain-500 Silver, 52","308.2179"
710,"Mountain Bike Socks, L","3.3963"
709,"Mountain Bike Socks, M","3.3963"
871,"Mountain Bottle Cage","3.7363"
921,"Mountain Tire Tube","1.8663"
873,"Patch Kit/8 Patches","0.8565"
875,"Racing Socks, L","3.3623"
874,"Racing Socks, M","3.3623"
907,"Rear Brakes","47.286"
894,"Rear Derailleur","53.9282"
750,"Road-150 Red, 44","2171.2942"
751,"Road-150 Red, 48","2171.2942"
752,"Road-150 Red, 52","2171.2942"
753,"Road-150 Red, 56","2171.2942"
749,"Road-150 Red, 62","2171.2942"
793,"Road-250 Black, 44","1554.9479"
794,"Road-250 Black, 48","1554.9479"
795,"Road-250 Black, 52","1554.9479"
796,"Road-250 Black, 58","1554.9479"
789,"Road-250 Red, 44","1518.7864"
790,"Road-250 Red, 48","1518.7864"
791,"Road-250 Red, 52","1518.7864"
792,"Road-250 Red, 58","1554.9479"
973,"Road-350-W Yellow, 40","1082.51"
974,"Road-350-W Yellow, 42","1082.51"
975,"Road-350-W Yellow, 44","1082.51"
976,"Road-350-W Yellow, 48","1082.51"
797,"Road-550-W Yellow, 38","713.0798"
798,"Road-550-W Yellow, 40","713.0798"
799,"Road-550-W Yellow, 42","713.0798"
800,"Road-550-W Yellow, 44","713.0798"
801,"Road-550-W Yellow, 48","713.0798"
768,"Road-650 Black, 44","486.7066"
769,"Road-650 Black, 48","486.7066"
765,"Road-650 Black, 58","486.7066"
766,"Road-650 Black, 60","486.7066"
767,"Road-650 Black, 62","486.7066"
763,"Road-650 Red, 48","486.7066"
764,"Road-650 Red, 52","486.7066"
759,"Road-650 Red, 58","486.7066"
761,"Road-650 Red, 62","486.7066"
997,"Road-750 Black, 44","343.6496"
998,"Road-750 Black, 48","343.6496"
999,"Road-750 Black, 52","343.6496"
977,"Road-750 Black, 58","343.6496"
872,"Road Bottle Cage","3.3623"
922,"Road Tire Tube","1.4923"
883,"Short-Sleeve Classic Jersey, L","41.5723"
882,"Short-Sleeve Classic Jersey, M","41.5723"
881,"Short-Sleeve Classic Jersey, S","41.5723"
884,"Short-Sleeve Classic Jersey, XL","41.5723"
708,"Sport-100 Helmet, Black","13.0863"
711,"Sport-100 Helmet, Blue","13.0863"
707,"Sport-100 Helmet, Red","13.0863"
966,"Touring-1000 Blue, 46","1481.9379"
967,"Touring-1000 Blue, 50","1481.9379"
968,"Touring-1000 Blue, 54","1481.9379"
969,"Touring-1000 Blue, 60","1481.9379"
954,"Touring-1000 Yellow, 46","1481.9379"
955,"Touring-1000 Yellow, 50","1481.9379"
956,"Touring-1000 Yellow, 54","1481.9379"
957,"Touring-1000 Yellow, 60","1481.9379"
970,"Touring-2000 Blue, 46","755.1508"
971,"Touring-2000 Blue, 50","755.1508"
972,"Touring-2000 Blue, 54","755.1508"
953,"Touring-2000 Blue, 60","755.1508"
978,"Touring-3000 Blue, 44","461.4448"
979,"Touring-3000 Blue, 50","461.4448"
958,"Touring-3000 Blue, 54","461.4448"
959,"Touring-3000 Blue, 58","461.4448"
960,"Touring-3000 Blue, 62","461.4448"
961,"Touring-3000 Yellow, 44","461.4448"
962,"Touring-3000 Yellow, 50","461.4448"
963,"Touring-3000 Yellow, 54","461.4448"
964,"Touring-3000 Yellow, 58","461.4448"
965,"Touring-3000 Yellow, 62","461.4448"
941,"Touring Pedal","35.9596"
934,"Touring Tire","10.8423"
923,"Touring Tire Tube","1.8663"
870,"Water Bottle - 30 oz.","1.8663"
869,"Women's Mountain Shorts, L","26.1763"
868,"Women's Mountain Shorts, M","26.1763"
867,"Women's Mountain Shorts, S","26.1763"
854,"Women's Tights, L","30.9334"
853,"Women's Tights, M","30.9334"
852,"Women's Tights, S","30.9334"
