"productid","name","listprice","subcategoryname"
934,"Touring Tire","28.99","Tires and Tubes"
937,"HL Mountain Pedal","80.99","Pedals"
940,"HL Road Pedal","80.99","Pedals"
941,"Touring Pedal","80.99","Pedals"
947,"HL Touring Handlebars","91.57","Handlebars"
951,"HL Crankset","404.99","Cranksets"
954,"Touring-1000 Yellow, 46","2384.07","Touring Bikes"
955,"Touring-1000 Yellow, 50","2384.07","Touring Bikes"
956,"Touring-1000 Yellow, 54","2384.07","Touring Bikes"
957,"Touring-1000 Yellow, 60","2384.07","Touring Bikes"
966,"Touring-1000 Blue, 46","2384.07","Touring Bikes"
967,"Touring-1000 Blue, 50","2384.07","Touring Bikes"
968,"Touring-1000 Blue, 54","2384.07","Touring Bikes"
969,"Touring-1000 Blue, 60","2384.07","Touring Bikes"
973,"Road-350-W Yellow, 40","1700.99","Road Bikes"
974,"Road-350-W Yellow, 42","1700.99","Road Bikes"
975,"Road-350-W Yellow, 44","1700.99","Road Bikes"
976,"Road-350-W Yellow, 48","1700.99","Road Bikes"
995,"ML Bottom Bracket","101.24","Bottom Brackets"
996,"HL Bottom Bracket","121.49","Bottom Brackets"
