"customerid","personid","salesorderid","totaldue"
11050,17337,44029,"3729.364"
11051,18655,74253,"71.7919"
11051,18655,74155,"65.1729"
11052,15276,58766,"2673.0613"
11052,15276,51582,"2582.6834"
11052,15276,44012,"3729.364"
11054,9790,59127,"2673.0613"
11054,9790,51350,"2656.3869"
11054,9790,43944,"3756.989"
11055,9489,59695,"2649.8453"
11055,9489,52271,"2646.4419"
11055,9489,43926,"3729.364"
11056,8428,59194,"2673.0613"
11056,8428,52207,"2666.8623"
11056,8428,44058,"3729.364"
11057,16962,58402,"2644.3313"
11057,16962,51682,"2563.589"
11057,16962,44040,"3729.364"
11058,15681,59464,"2732.7203"
11058,15681,51292,"2624.3529"
11058,15681,44180,"3756.989"
11059,8960,54480,"27.614"
11059,8960,54200,"16.5529"
11059,8960,52933,"85.0408"
11060,13542,60884,"2688.5092"
11060,13542,51293,"2563.589"
11060,13542,44220,"3756.989"
11061,18220,60168,"2634.3974"
11061,18220,51237,"2618.8058"
11061,18220,44190,"3729.364"
11065,3510,74538,"6.9394"
11065,3510,52558,"216.9005"
11066,19662,66656,"43.0729"
11066,19662,59178,"46.7194"
11067,16424,74615,"109.9144"
11067,16424,64472,"6.9394"
11068,2676,67965,"66.2006"
11068,2676,62476,"16.5529"
11068,2676,57197,"42.5094"
11069,10008,59465,"2634.3974"
11069,10008,51667,"2563.589"
11069,10008,44416,"3756.989"
11070,13417,60939,"2674.4757"
11070,13417,51385,"2591.4681"
11070,13417,44467,"3756.989"
11071,13827,72067,"75.1069"
11071,13827,54593,"16.5529"
11071,13827,53667,"30.1444"
11072,16284,60240,"2649.8453"
11072,16284,51386,"2647.5358"
11072,16284,44323,"3756.989"
11073,20712,64686,"25.3819"
11073,20712,59841,"71.7919"
11073,20712,54892,"114.8758"
11074,7914,58717,"9.934"
11074,7914,57536,"38.9292"
11074,7914,54893,"55.2169"
11075,14267,60835,"2649.8453"
11075,14267,51491,"2535.964"
11075,14267,44468,"3729.364"
11076,4157,60628,"2634.3974"
11076,4157,51239,"2624.3529"
11076,4157,44437,"3756.989"
11077,17455,60042,"2673.0613"
11077,17455,51651,"2624.3529"
11077,17455,44407,"3729.364"
11078,15039,75084,"132.6"
11078,15039,73869,"15.4479"
11078,15039,68288,"28.1554"
11078,15039,68285,"38.664"
11078,15039,67668,"77.339"
11078,15039,62413,"8.0444"
11078,15039,62245,"178.2255"
11078,15039,61443,"59.659"
11078,15039,58490,"82.8529"
11078,15039,58429,"33.1279"
11078,15039,57969,"65.1729"
11078,15039,57281,"38.675"
11078,15039,56449,"76.2119"
11078,15039,54268,"27.614"
11078,15039,54214,"62.9408"
11078,15039,53993,"13.1937"
11078,15039,52789,"71.2394"
11079,20058,74254,"27.614"
11079,20058,65460,"25.3819"
11079,20058,54436,"11.039"
11080,14268,60764,"2728.3003"
11080,14268,51448,"2607.7779"
11080,14268,44379,"3729.364"
11081,10369,56136,"74.0019"
11081,10369,52649,"41.2055"
11082,7672,70231,"862.8061"
11082,7672,51592,"2574.639"
11083,20135,70362,"820.2968"
11083,20135,51325,"2646.4419"
11084,4281,71270,"835.7447"
11084,4281,51289,"2566.1194"
11085,12219,74479,"59.6479"
11085,12219,72476,"82.8529"
11086,17979,73610,"109.9144"
11086,17979,61384,"59.6479"
11087,11871,63918,"41.2055"
11087,11871,53299,"180.104"
11088,17897,70654,"895.4036"
11088,17897,51445,"2614.9383"
11089,3950,71077,"924.1336"
11089,3950,51194,"2598.9158"
11090,12846,71269,"830.2307"
11090,12846,51679,"2623.7894"
11090,12846,45389,"3953.9884"
11091,4515,74480,"32.0229"
11091,4515,74373,"38.664"
11091,4515,73594,"30.1444"
11091,4515,73431,"8.0444"
11091,4515,73198,"30.1444"
11091,4515,70264,"38.5535"
11091,4515,70203,"38.675"
11091,4515,69332,"79.0959"
11091,4515,68151,"159.6615"
11091,4515,66157,"38.664"
11091,4515,64475,"34.5534"
11091,4515,63636,"28.1554"
11091,4515,63516,"127.0308"
11091,4515,62597,"110.0249"
11091,4515,61333,"38.6529"
11091,4515,60531,"2.5305"
11091,4515,59522,"77.339"
11091,4515,59427,"35.6584"
11091,4515,57494,"6.9394"
11091,4515,56816,"5.514"
11091,4515,56448,"44.1779"
11091,4515,55626,"30.6859"
11091,4515,55572,"42.9624"
11091,4515,54831,"82.3004"
11091,4515,54391,"14.2987"
11091,4515,54113,"64.6094"
11091,4515,52420,"59.659"
11091,4515,51925,"15.4479"
11092,6174,60629,"2644.3313"
11092,6174,51432,"2587.8769"
11092,6174,44364,"3729.364"
11093,5827,59760,"2673.0613"
11093,5827,51352,"2608.8498"
11093,5827,44355,"3756.989"
11094,3504,74557,"86.1458"
11094,3504,64684,"141.3848"
11094,3504,55816,"33.1279"
11095,20332,60885,"2673.0613"
11095,20332,51683,"2612.1758"
11095,20332,44325,"3729.364"
11096,5114,63115,"2644.3313"
11096,5114,53176,"2535.964"
11096,5114,44387,"3729.364"
11097,13205,62750,"2673.0613"
11097,13205,54519,"2547.0029"
11097,13205,44337,"3729.364"
11098,5986,68475,"5.514"
11098,5986,63890,"59.659"
11098,5986,52579,"33.1279"
11099,5231,61367,"2709.5042"
11099,5231,53971,"2612.1758"
11099,5231,44356,"3756.989"
11100,6138,63819,"2649.8453"
11100,6138,54928,"2651.4144"
11100,6138,44412,"3729.364"
11101,17810,61165,"2676.9067"
11101,17810,51668,"2696.189"
11101,17810,44475,"3756.989"
11102,9866,72645,"77.3169"
11102,9866,67645,"27.614"
11102,9866,62239,"8.7848"
11103,8905,59636,"2673.0613"
11103,8905,51384,"2639.2373"
11103,8905,44408,"3729.364"
11104,8139,60241,"2694.0563"
11104,8139,51594,"2580.1529"
11104,8139,44589,"3756.989"
11105,15430,59561,"2653.1161"
11105,15430,51235,"2535.964"
11105,15430,44655,"3756.989"
11106,5510,60242,"2634.3974"
11106,5510,51236,"2535.964"
11106,5510,44679,"3756.989"
11107,4781,60612,"2673.0613"
11107,4781,51447,"2626.5408"
11107,4781,44574,"3729.364"
11108,10536,60747,"2673.0613"
11108,10536,51215,"2574.639"
11108,10536,44581,"3729.364"
11109,11186,60818,"2644.3313"
11109,11186,51420,"2737.0408"
11109,11186,44627,"3729.364"
11110,18247,64674,"2649.8453"
11110,18247,54367,"2535.964"
11110,18247,44575,"3756.989"
11111,10647,64789,"2671.9453"
11111,10647,54307,"2562.4508"
11111,10647,44690,"3756.989"
11112,20739,65625,"2673.0613"
11112,20739,55860,"2763.5719"
11112,20739,44712,"3729.364"
11113,14592,56547,"8.7848"
11113,14592,52474,"57.4158"
11113,14592,52072,"55.2169"
11114,18519,73942,"71.7919"
11114,18519,62700,"55.2169"
11114,18519,54594,"8.7848"
11115,4765,74279,"86.7204"
11115,4765,73651,"8.7848"
11115,4765,52526,"30.1444"
11116,14638,68478,"8.7848"
11116,14638,61977,"125.3844"
11116,14638,54433,"30.1444"
11117,20526,60886,"2673.0613"
11117,20526,51216,"2614.3637"
11117,20526,44601,"3756.989"
11118,4788,75034,"8.7848"
11118,4788,70457,"41.9127"
11118,4788,61856,"86.1016"
11119,14595,71358,"55.239"
11119,14595,52164,"38.9292"
11120,6073,66697,"2732.7092"
11120,6073,56903,"2645.8783"
11120,6073,44657,"3729.364"
11121,19001,70025,"16.5529"
11121,19001,65022,"38.9292"
11121,19001,60772,"8.7848"
11122,19748,64738,"27.614"
11122,19748,61373,"11.039"
11122,19748,53080,"8.7848"
11123,19185,75001,"114.8758"
11123,19185,68404,"8.7848"
11123,19185,56345,"41.9127"
11124,11743,60434,"2673.0613"
11124,11743,51649,"2552.5169"
11124,11743,44595,"3756.989"
11125,17820,61444,"35.6584"
11125,17820,53927,"43.6144"
11125,17820,52030,"8.7848"
11126,17105,70014,"860.3751"
11126,17105,56683,"877.1048"
11126,17105,44728,"3756.989"
11127,9367,67537,"44.189"
11127,9367,55981,"4.409"
11128,12533,64097,"99.4058"
11128,12533,60469,"59.6479"
11129,10538,51381,"2535.964"
11129,10538,45382,"3953.9884"
11131,3003,74941,"55.239"
11131,3003,73665,"5.514"
11131,3003,72371,"33.1279"
11131,3003,71456,"62.9629"
11131,3003,68646,"26.4869"
11134,18439,70015,"820.2968"
11134,18439,60741,"850.2865"
11134,18439,44582,"3756.989"
11137,11395,74843,"6.9394"
11137,11395,63329,"216.9005"
11138,11623,74246,"44.189"
11138,11623,66642,"43.0729"
11139,14017,68541,"27.614"
11139,14017,66325,"65.1729"
11141,19930,67234,"82.8529"
11141,19930,58082,"43.0729"
11142,13742,74625,"43.0729"
11142,13742,74272,"82.8529"
11142,13742,73185,"132.6"
11142,13742,72976,"34.5534"
11142,13742,72801,"98.3229"
11142,13742,72296,"104.4004"
11142,13742,68039,"71.7919"
11142,13742,66784,"55.239"
11142,13742,66713,"32.5754"
11142,13742,63894,"59.659"
11142,13742,62247,"44.1779"
11142,13742,62036,"70.6869"
11142,13742,60699,"76.2119"
11142,13742,56610,"32.034"
11142,13742,56488,"65.7254"
11142,13742,53684,"77.3169"
11142,13742,52682,"2.5305"
11143,6401,73429,"6.9394"
11143,6401,60226,"46.7194"
11146,3532,66376,"5.514"
11146,3532,63829,"59.659"
11146,3532,52286,"59.6148"
11147,6463,68538,"2700.1228"
11147,6463,57004,"2626.5408"
11147,6463,44650,"3729.364"
11148,11820,72191,"44.1779"
11148,11820,70251,"35.6584"
11148,11820,53989,"59.659"
11149,6747,71957,"9.934"
11149,6747,69162,"27.614"
11149,6747,59414,"8.0444"
11150,16842,62170,"9.934"
11150,16842,59763,"44.1779"
11150,16842,55095,"158.5123"
11151,14076,68811,"2644.3313"
11151,14076,56269,"2562.7823"
11151,14076,44662,"3729.364"
11153,8391,55215,"46.7194"
11153,8391,55189,"74.5765"
11157,13038,66182,"38.675"
11157,13038,62705,"6.9394"
11159,19259,70285,"46.7194"
11159,19259,65963,"6.9394"
11161,12985,70532,"43.0729"
11161,12985,59239,"60.7419"
11163,5872,63663,"46.7194"
11163,5872,57255,"4.409"
11164,14151,63662,"153.0204"
11164,14151,56861,"6.9394"
11165,7251,59536,"38.675"
11165,7251,58598,"74.5765"
11166,12441,72475,"44.189"
11166,12441,68351,"53.0069"
11167,19844,71758,"879.9557"
11167,19844,51348,"2574.639"
11168,18143,70924,"858.9607"
11168,18143,51469,"2606.9713"
11169,14713,66984,"46.7194"
11169,14713,58649,"43.0729"
11170,3164,74158,"108.2458"
11170,3164,64994,"65.4934"
11171,16623,70299,"835.7447"
11171,16623,51490,"2632.0548"
11171,16623,45463,"3953.9884"
11172,10282,74581,"99.4058"
11172,10282,57383,"43.0729"
11173,12474,73809,"74.5765"
11173,12474,53753,"38.675"
11174,19012,62770,"6.9394"
11174,19012,62062,"46.7194"
11175,5468,69993,"873.2926"
11175,5468,51591,"2587.8769"
11175,5468,45512,"3953.9884"
11176,15994,75070,"27.614"
11176,15994,74699,"42.9624"
11176,15994,74634,"159.6394"
11176,15994,74596,"5.514"
11176,15994,71234,"23.7465"
11176,15994,70606,"69.5929"
11176,15994,69587,"44.1779"
11176,15994,69262,"127.0308"
11176,15994,67222,"35.6694"
11176,15994,66957,"38.664"
11176,15994,65702,"44.1779"
11176,15994,64316,"34.5534"
11176,15994,63551,"31.4704"
11176,15994,62958,"6.9394"
11176,15994,60198,"2.5305"
11176,15994,60065,"51.7472"
11176,15994,57861,"40.0784"
11176,15994,55982,"70.6869"
11176,15994,55691,"55.239"
11176,15994,54661,"15.4479"
11176,15994,54116,"38.5535"
11176,15994,53666,"132.6"
11176,15994,53026,"27.614"
11176,15994,52708,"72.8969"
11176,15994,52538,"88.3669"
11176,15994,52535,"26.2769"
11176,15994,52472,"65.7254"
11176,15994,52127,"79.0959"
11177,5651,68374,"142.5119"
11177,5651,55191,"6.9394"
11178,17696,58674,"46.7194"
11178,17696,53085,"113.2404"
11179,16169,74508,"70.1344"
11179,16169,54293,"68.4769"
11180,20564,67055,"109.9144"
11180,20564,54537,"43.0729"
11181,4935,61929,"4.409"
11181,4935,57619,"41.2055"
11182,3087,74379,"43.0729"
11182,3087,65124,"46.7194"
11183,11425,60089,"44.189"
11183,11425,57192,"6.9394"
11184,18783,68030,"6.9394"
11184,18783,63975,"68.4769"
11185,12569,75038,"87.8144"
11185,12569,74245,"171.7944"
11185,12569,72956,"55.239"
11185,12569,71107,"2.5305"
11185,12569,71036,"44.1779"
11185,12569,69671,"71.7919"
11185,12569,69327,"16.8292"
11185,12569,69111,"136.9979"
11185,12569,68206,"34.5534"
11185,12569,67361,"40.432"
11185,12569,67018,"38.664"
11185,12569,66040,"217.6077"
11185,12569,64740,"23.7465"
11185,12569,64079,"79.0959"
11185,12569,64008,"65.7254"
11185,12569,63905,"114.3454"
11185,12569,63705,"30.1444"
11185,12569,63497,"54.1119"
11185,12569,63072,"69.5929"
11185,12569,62543,"43.0729"
11185,12569,61737,"6.9394"
11185,12569,61613,"42.9624"
11185,12569,58146,"47.4819"
11185,12569,57260,"33.1279"
11185,12569,54550,"77.3169"
11185,12569,54444,"42.9624"
11185,12569,53092,"136.9648"
11186,12608,74464,"41.2055"
11186,12608,68635,"4.409"
11187,20457,63725,"44.189"
11187,20457,55563,"74.5765"
11188,9002,74880,"6.9394"
11188,9002,69830,"82.8529"
11189,14459,52321,"2614.3748"
11189,14459,45500,"3953.9884"
11190,13265,74750,"44.189"
11190,13265,65101,"6.9394"
11191,10722,70229,"889.8897"
11191,10722,51399,"2607.7779"
11191,10722,45413,"3953.9884"
11192,17599,67056,"82.8529"
11192,17599,60704,"43.0729"
11193,14519,64476,"6.9394"
11193,14519,53325,"38.675"
11194,7727,72599,"70.1344"
11194,7727,54355,"46.7194"
11195,19140,68921,"109.9144"
11195,19140,56195,"6.9394"
11196,2800,66986,"176.789"
11196,2800,53786,"2.5305"
11197,9000,62485,"182.6344"
11197,9000,57340,"46.7194"
11198,8052,52709,"38.675"
11198,8052,52298,"70.1344"
11199,7729,68589,"138.6444"
11199,7729,54605,"6.9394"
11200,5409,74855,"2.5305"
11200,5409,74516,"214.3479"
11200,5409,73353,"44.1779"
11200,5409,70329,"36.023"
11200,5409,68833,"27.614"
11200,5409,67868,"5.514"
11200,5409,67508,"88.3669"
11200,5409,67219,"36.023"
11200,5409,66215,"70.6869"
11200,5409,65038,"76.2119"
11200,5409,64255,"30.1444"
11200,5409,63431,"120.9644"
11200,5409,62961,"40.432"
11200,5409,62593,"23.7465"
11200,5409,60565,"82.3004"
11200,5409,60395,"4.409"
11200,5409,57884,"38.675"
11200,5409,57319,"66.8194"
11200,5409,57198,"59.659"
11200,5409,56044,"86.1016"
11200,5409,55571,"30.1444"
11200,5409,54899,"30.1444"
11200,5409,54379,"25.3819"
11200,5409,54205,"65.7254"
11200,5409,53359,"64.0679"
11200,5409,53089,"32.5754"
11200,5409,52380,"214.2485"
11201,3054,66032,"98.3119"
11201,3054,61351,"101.6269"
11202,7092,66805,"38.675"
11202,7092,66383,"43.0729"
11203,5463,72799,"4.409"
11203,5463,71235,"30.1444"
11203,5463,68559,"32.0229"
11203,5463,68210,"40.0784"
11203,5463,67419,"75.1069"
11203,5463,67351,"55.239"
11203,5463,66895,"2.5305"
11203,5463,63466,"49.9902"
11203,5463,62256,"77.339"
11203,5463,60779,"168.2584"
11203,5463,56037,"41.1834"
11203,5463,55743,"98.3229"
11203,5463,55625,"8.0444"
11203,5463,55046,"5.514"
11203,5463,54985,"59.659"
11203,5463,53069,"132.6"
11203,5463,53020,"5.514"
11204,20019,70495,"82.8529"
11204,20019,63895,"2.5305"
11205,18028,67980,"2.5305"
11205,18028,62917,"38.675"
11206,13604,59092,"2.5305"
11206,13604,57822,"82.8529"
11207,8512,68636,"2.5305"
11207,8512,52054,"82.8529"
11208,3225,66523,"2.5305"
11208,3225,53852,"145.7937"
11209,9318,74935,"38.675"
11209,9318,54987,"2.5305"
11210,13628,65817,"31.4704"
11210,13628,57566,"46.7194"
11211,12549,74455,"77.339"
11211,12549,72080,"41.9127"
11211,12549,71436,"30.1444"
11211,12549,70685,"2.5305"
11211,12549,70476,"77.3169"
11211,12549,69589,"26.2769"
11211,12549,67652,"70.6869"
11211,12549,66842,"44.1779"
11211,12549,64949,"38.664"
11211,12549,63429,"15.4479"
11211,12549,62125,"44.189"
11211,12549,61314,"132.6"
11211,12549,56554,"5.514"
11211,12549,55742,"65.1729"
11211,12549,55463,"74.0019"
11211,12549,54674,"59.659"
11211,12549,52074,"71.2394"
11212,9700,74759,"43.0729"
11212,9700,74563,"30.1444"
11212,9700,72978,"97.7483"
11212,9700,67588,"30.1444"
11212,9700,66105,"77.3169"
11212,9700,66080,"132.6"
11212,9700,65628,"15.4479"
11212,9700,64626,"87.8144"
11212,9700,63564,"59.659"
11212,9700,57380,"2.5305"
11212,9700,57370,"55.239"
11212,9700,56920,"26.2769"
11212,9700,54207,"32.5754"
11212,9700,52968,"38.664"
11212,9700,52446,"46.7194"
11212,9700,52299,"5.514"
11212,9700,51991,"132.5779"
11213,3074,66048,"82.8529"
11213,3074,55148,"2.5305"
11214,4847,71121,"176.789"
11214,4847,64192,"2.5305"
11215,7440,73124,"27.614"
11215,7440,71153,"142.534"
11215,7440,69670,"2.5305"
11215,7440,66239,"82.8529"
11215,7440,65882,"55.239"
11215,7440,62396,"38.664"
11215,7440,61455,"104.4004"
11215,7440,59421,"23.7465"
11215,7440,58848,"43.0729"
11215,7440,58552,"207.7179"
11215,7440,57258,"5.514"
11215,7440,56032,"5.514"
11215,7440,56029,"59.659"
11215,7440,55193,"109.9144"
11215,7440,55151,"44.1779"
11215,7440,53838,"214.3479"
11215,7440,52778,"109.3508"
11216,19820,52322,"2618.8169"
11216,19820,45441,"3953.9884"
11217,10262,52759,"2624.3529"
11217,10262,45404,"3953.9884"
11218,11750,74362,"41.2055"
11218,11750,53629,"2.5305"
11219,15531,74978,"2.5305"
11219,15531,69614,"41.2055"
11220,2477,72977,"11.3152"
11220,2477,54412,"44.189"
11221,5941,68587,"46.7194"
11221,5941,55827,"4.409"
11222,2773,71732,"82.8529"
11222,2773,69805,"146.9429"
11223,3197,74425,"54.6754"
11223,3197,72881,"5.514"
11223,3197,71637,"27.614"
11223,3197,71298,"33.1279"
11223,3197,71293,"43.0729"
11223,3197,70535,"30.1444"
11223,3197,70103,"2.5305"
11223,3197,68637,"30.6859"
11223,3197,68091,"38.664"
11223,3197,65758,"44.1779"
11223,3197,65408,"30.1444"
11223,3197,64809,"79.0959"
11223,3197,62875,"97.7483"
11223,3197,62778,"54.6754"
11223,3197,62159,"55.239"
11223,3197,61614,"118.1577"
11223,3197,60341,"26.2769"
11223,3197,57865,"45.957"
11223,3197,57659,"44.189"
11223,3197,57643,"32.034"
11223,3197,57253,"38.664"
11223,3197,56612,"44.1779"
11223,3197,55826,"59.659"
11223,3197,55047,"79.0959"
11223,3197,54836,"101.7484"
11223,3197,52483,"43.0729"
11223,3197,51942,"71.8029"
11224,2656,72256,"858.9607"
11224,2656,51678,"2574.6279"
11224,2656,45387,"3953.9884"
11225,12350,65843,"78.4108"
11225,12350,60652,"2.5305"
11226,2873,55430,"38.675"
11226,2873,53088,"2.5305"
11227,11590,52566,"2576.8048"
11227,11590,45359,"3953.9884"
11228,12412,74778,"82.8529"
11228,12412,69106,"2.5305"
11229,15841,75004,"43.0729"
11229,15841,62916,"46.7194"
11230,9612,72684,"46.7194"
11230,9612,62246,"13.1937"
11231,17885,70607,"2.5305"
11231,17885,52560,"68.4769"
11232,3210,70702,"41.2055"
11232,3210,66711,"2.5305"
11233,18194,59716,"31.4704"
11233,18194,52443,"166.7998"
11234,3686,66681,"41.2055"
11234,3686,52421,"43.0729"
11235,15802,74377,"70.1344"
11235,15802,61518,"82.8529"
11236,13521,74422,"43.0729"
11236,13521,67680,"82.8529"
11237,7511,71500,"2709.8357"
11237,7511,65557,"2673.0613"
11237,7511,51516,"2563.589"
11237,7511,45631,"3729.364"
11238,3392,57240,"622.0708"
11238,3392,54301,"1381.0732"
11238,3392,51573,"2574.6279"
11238,3392,43729,"3756.989"
11239,16405,58833,"627.3748"
11239,16405,58627,"1342.4093"
11239,16405,51411,"2601.1148"
11239,16405,43788,"3729.364"
11240,14359,57953,"639.1983"
11240,14359,57673,"1367.7911"
11240,14359,51205,"2618.8058"
11240,14359,44063,"3756.989"
11241,2436,69624,"2682.9953"
11241,2436,64592,"2860.1047"
11241,2436,61171,"612.1369"
11241,2436,57891,"896.5086"
11241,2436,55623,"782.8262"
11241,2436,51192,"2574.6279"
11241,2436,49675,"2264.2536"
11242,18425,72324,"2673.0613"
11242,18425,71067,"862.8061"
11242,18425,64772,"2634.3974"
11242,18425,59645,"596.689"
11242,18425,58646,"635.3529"
11242,18425,51305,"2563.589"
11242,18425,49752,"2264.2536"
11243,13712,59829,"650.8008"
11243,13712,52454,"895.4036"
11243,13712,51427,"2613.3029"
11243,13712,44032,"3756.989"
11244,12751,62467,"673.4423"
11244,12751,54970,"896.5086"
11244,12751,51544,"2602.264"
11244,12751,43988,"3756.989"
11245,15603,72793,"2709.8357"
11245,15603,66500,"2671.9453"
11245,15603,51178,"2580.1419"
11245,15603,45765,"3729.364"
11246,6162,73507,"2708.6865"
11246,6162,66482,"2673.0613"
11246,6162,51604,"2574.6279"
11246,6162,45840,"3729.364"
11247,5863,64449,"650.8008"
11247,5863,55725,"914.1997"
11247,5863,51408,"2585.9542"
11247,5863,44016,"3729.364"
11249,7289,66414,"2674.4757"
11249,7289,56133,"1944.7669"
11249,7289,51247,"2552.5169"
11249,7289,45872,"3756.989"
11250,2526,63748,"651.9058"
11250,2526,61078,"868.8947"
11250,2526,52410,"2585.6669"
11250,2526,44206,"3756.989"
11252,19006,73397,"845.6786"
11252,19006,51665,"2587.8769"
11252,19006,45434,"3953.9884"
11253,17012,72186,"55.239"
11253,17012,71710,"44.1779"
11253,17012,71296,"32.0229"
11253,17012,68624,"54.1119"
11253,17012,68492,"104.4004"
11253,17012,62248,"5.514"
11253,17012,61927,"2.5305"
11253,17012,61926,"59.659"
11253,17012,61430,"38.664"
11253,17012,61121,"26.2769"
11253,17012,61120,"70.6869"
11253,17012,59428,"41.1834"
11253,17012,55519,"27.614"
11253,17012,55190,"98.3119"
11253,17012,54292,"38.675"
11253,17012,53682,"70.6869"
11254,15887,73048,"70.1344"
11254,15887,71400,"155.1973"
11255,13436,55400,"43.0729"
11255,13436,53229,"82.8529"
11256,10472,68505,"46.7194"
11256,10472,56233,"43.0729"
11257,7742,73079,"886.0222"
11257,7742,51231,"2538.4944"
11257,7742,45485,"3953.9884"
11258,4422,62206,"38.675"
11258,4422,58366,"15.7242"
11259,19376,73568,"858.9607"
11259,19376,51468,"2668.564"
11259,19376,45626,"3953.9884"
11260,7966,60705,"43.0729"
11260,7966,52314,"46.7194"
11261,9398,73768,"820.2968"
11261,9398,51210,"2574.6279"
11261,9398,45774,"3953.9884"
11262,20532,74919,"38.664"
11262,20532,74624,"59.659"
11262,20532,74446,"30.1444"
11262,20532,73186,"8.7848"
11262,20532,72527,"104.3783"
11262,20532,72201,"39.4706"
11262,20532,70609,"35.6584"
11262,20532,69033,"43.0729"
11262,20532,68978,"5.514"
11262,20532,67093,"30.6859"
11262,20532,66806,"41.2055"
11262,20532,66330,"40.432"
11262,20532,66099,"141.3848"
11262,20532,65757,"4.409"
11262,20532,65465,"38.9292"
11262,20532,63836,"43.3381"
11262,20532,61385,"11.3152"
11262,20532,61331,"42.9624"
11262,20532,61118,"32.5754"
11262,20532,60638,"65.7254"
11262,20532,59997,"95.6709"
11262,20532,59928,"40.432"
11262,20532,57707,"5.514"
