"customerid","totalamount"
25979,"6391.3864"
15058,"7336.7360"
17825,"7752.1856"
12318,"7523.0039"
12305,"5459.1306"
13286,"4990.7685"
14049,"5846.2011"
30111,"311393.1457"
16033,"4136.4488"
28224,"6648.0447"
12302,"8941.5381"
13651,"7527.3907"
28843,"3953.9884"
24310,"5336.4760"
12380,"6155.0912"
23661,"4376.9410"
27521,"4930.6849"
11453,"9035.5630"
13258,"9819.6158"
28190,"6627.0497"
11930,"5564.5702"
15101,"7672.6256"
17911,"5192.1299"
13909,"5264.2421"
16523,"5192.1299"
29932,"228053.1314"
29146,"3953.9884"
12356,"7525.1918"
16483,"4550.6774"
28150,"3953.9884"
17916,"5290.4528"
29716,"781073.7175"
29995,"381607.9961"
29048,"4812.9491"
29774,"197614.4995"
19325,"4690.9662"
15637,"7734.5277"
15176,"5196.8482"
11516,"6536.6718"
12460,"6275.1937"
29568,"15976.5530"
14790,"7740.0527"
18338,"6767.6610"
18268,"6742.9200"
25901,"6401.3203"
22904,"5259.7918"
18189,"4550.6774"
14132,"4203.5065"
17924,"5230.7938"
19605,"5872.2463"
11751,"9077.5972"
29198,"3953.9884"
22121,"6627.0497"
18470,"6653.8902"
11151,"8936.4776"
13424,"5312.0776"
15062,"7386.4720"
25976,"6363.7614"
17086,"4634.7347"
19593,"5863.7268"
14148,"4869.4478"
13735,"4990.7685"
16540,"5189.6243"
18463,"5222.2743"
11464,"8982.0036"
25879,"5147.9962"
17294,"4813.0596"
11835,"5273.3915"
15035,"4168.5127"
29795,"166136.4831"
11456,"9088.0284"
13970,"7561.6678"
20241,"5908.6892"
29879,"33364.2043"
18173,"7944.2318"
29136,"3953.9884"
12016,"6534.1303"
30043,"360816.5491"
28099,"6654.1112"
13724,"4946.5906"
11032,"7210.7439"
29994,"824331.7682"
12335,"7638.4211"
29787,"167452.6003"
21167,"5146.5514"
11460,"8991.9597"
16482,"5286.0328"
13897,"4970.8785"
16196,"7997.2829"
20259,"6662.6749"
28240,"6628.4641"
28573,"3953.9884"
30086,"5282.5744"
12640,"7461.1018"
13579,"8061.0193"
11296,"6516.7707"
11286,"6579.4132"
14161,"7179.4172"
16263,"8003.9129"
29506,"31667.3341"
29779,"44581.9065"
15036,"4182.5115"
19959,"6692.5541"
12378,"4824.8827"
16662,"4813.0596"
20991,"4550.6774"
12179,"6534.1303"
23846,"5335.0616"
11780,"6600.4303"
14033,"7525.0055"
12988,"7641.5594"
11031,"7158.8531"
16352,"6573.0815"
13076,"7582.6629"
26056,"6451.0453"
30095,"257252.7645"
21921,"4577.7388"
12980,"5030.5374"
12990,"7546.5640"
15567,"5215.8984"
15585,"4825.5552"
26094,"5136.3826"
13576,"9205.5230"
13361,"5266.0212"
12904,"6536.6607"
18768,"5872.2463"
28420,"5010.5784"
18302,"6662.6749"
19631,"5833.5824"
18709,"6738.8868"
28643,"3953.9884"
12863,"4948.5764"
16327,"5135.9102"
25910,"5109.3322"
28675,"3953.9884"
28294,"3953.9884"
15627,"7672.6588"
22765,"6606.3641"
16442,"5440.2355"
12701,"7589.6259"
11917,"8974.0698"
27452,"5021.6390"
13369,"5280.0547"
22199,"5186.7402"
29581,"106288.0572"
15733,"4910.1209"
18303,"6663.8241"
30090,"93981.0186"
21885,"5129.2471"
23865,"5405.2291"
17920,"5230.7938"
11603,"7477.6879"
13050,"6244.6309"
26116,"6402.4253"
14709,"4859.5138"
14427,"9338.6424"
29494,"18275.1045"
16624,"6561.7663"
18900,"4566.1253"
14697,"7386.4610"
11990,"9021.2311"
12784,"6613.6682"
19794,"6738.9310"
23829,"5306.3316"
14276,"5811.5910"
30096,"148385.9496"
21893,"5153.4908"
12210,"7542.1219"
28658,"3953.9884"
30050,"631355.0743"
13947,"5088.5720"
11299,"6646.8403"
12338,"9132.8251"
13836,"4839.9443"
22230,"4666.6692"
12825,"4883.0594"
23413,"3997.7022"
17114,"8039.2729"
13214,"4974.2156"
17946,"4290.2206"
29981,"96507.6623"
28653,"3953.9884"
15440,"7443.8989"
28083,"6588.3858"
24586,"4579.4958"
23659,"4618.1597"
19653,"5872.2463"
21562,"5119.3131"
17199,"7732.3067"
20000,"4967.5055"
18467,"5833.5824"
12123,"6450.8113"
13702,"4949.1210"
13548,"6528.6163"
12935,"5297.7126"
12110,"6506.5053"
24283,"4360.9074"
14200,"10411.2134"
15726,"4854.6609"
28250,"6648.0447"
13225,"4976.7460"
15661,"5754.8843"
28839,"3953.9884"
14167,"4869.4478"
29892,"114722.0767"
14822,"4859.5138"
17079,"4881.6138"
29773,"95924.0197"
22987,"4355.9460"
12390,"5500.5349"
16532,"5438.4675"
27920,"6627.0497"
18767,"5872.2463"
18272,"6692.5541"
15179,"4911.6031"
15143,"4824.8827"
29896,"330853.4536"
11924,"6516.4392"
13274,"5345.7801"
12143,"6622.5524"
14949,"7509.1381"
18484,"6732.9861"
29678,"28411.1304"
12834,"6517.5774"
12650,"11949.0613"
13620,"7567.1155"
12423,"6528.6163"
17247,"4898.1557"
11339,"4838.8815"
16157,"4852.5077"
28268,"6627.0497"
17354,"6662.6749"
12383,"6517.5774"
23725,"5335.0616"
13911,"5026.1174"
29699,"126587.3691"
19958,"6692.4436"
13292,"4949.1210"
29887,"9686.1306"
11034,"7172.9087"
26097,"6379.2093"
22267,"4604.7892"
14303,"4018.7837"
18203,"4610.3363"
11052,"8985.1087"
13316,"5057.0685"
16199,"7643.9398"
26293,"4922.8836"
18482,"6663.8241"
13328,"5202.3622"
14010,"4266.8356"
11778,"6489.9524"
27105,"4914.0989"
29869,"31992.6547"
28626,"3953.9884"
16425,"6319.1553"
12386,"4914.3435"
13517,"6261.3480"
29809,"106357.9807"
30019,"24931.8214"
20152,"4577.7388"
25917,"5193.3012"
11110,"8942.7983"
16687,"6708.0020"
12750,"7173.3618"
14070,"6208.9158"
22128,"4577.1642"
21944,"5208.8513"
30104,"6322.6323"
16587,"7805.2367"
13220,"5174.1985"
14133,"4159.2955"
13521,"4988.8205"
13178,"4970.8785"
22933,"4328.8845"
29591,"20867.0069"
29909,"285873.6939"
16548,"5110.5284"
29609,"210334.4128"
14160,"7381.0686"
20420,"4566.1253"
28247,"6588.3858"
21996,"4360.9074"
11465,"9014.6343"
17103,"7663.2662"
12039,"9075.3651"
28196,"6613.7676"
29804,"20330.4564"
30059,"164735.9592"
28966,"3953.9884"
19783,"6653.8902"
30064,"4748.4513"
30083,"225213.7460"
14064,"6292.1017"
13905,"5026.1174"
28821,"3953.9884"
12003,"9123.4326"
29254,"3953.9884"
17203,"7682.5485"
14062,"6240.9497"
29489,"428350.5326"
12922,"4987.4314"
23868,"5336.4760"
19036,"5263.4908"
27250,"5069.6954"
18737,"6653.8902"
15601,"4894.6730"
11050,"5533.0666"
11421,"10806.9444"
12242,"4363.6119"
12109,"6552.9042"
17225,"7720.4942"
27752,"3953.9884"
23332,"4579.4958"
16629,"6556.2524"
28625,"3953.9884"
29872,"10196.1966"
11539,"6627.4917"
12261,"6600.4303"
12167,"6602.6292"
18269,"6755.0861"
18005,"6414.3842"
18222,"6679.2720"
28618,"3953.9884"
27623,"6612.6184"
11266,"6544.0642"
11611,"6489.9524"
12873,"6272.2448"
22998,"5888.8213"
18168,"7632.8456"
11607,"6534.1303"
12388,"4838.8815"
29843,"243845.1788"
19048,"5266.0212"
21984,"4614.0491"
12129,"9455.9377"
24664,"4827.2810"
29794,"80262.2493"
29684,"92548.8494"
12854,"4825.5552"
15788,"4909.9345"
29786,"236210.9015"
15097,"9256.6846"
29019,"4812.9491"
28807,"3953.9884"
11402,"5590.5593"
26339,"4923.3161"
18248,"6671.8685"
29521,"208054.1284"
29861,"460174.8591"
12620,"7161.5272"
29663,"47094.0902"
18700,"5887.6942"
23652,"4317.8345"
12052,"6558.7828"
15015,"4203.5065"
12452,"6558.7828"
29770,"500181.7264"
28624,"3953.9884"
11767,"9193.0587"
29686,"32409.8546"
12355,"7534.0097"
29589,"223583.8648"
18251,"6669.3381"
22182,"6636.9837"
11106,"8927.3504"
28270,"3953.9884"
27578,"3953.9884"
29484,"147804.9208"
11338,"6348.1698"
29201,"4789.7331"
16176,"4866.5065"
29859,"5794.6949"
29600,"19798.5095"
29643,"230789.1890"
28993,"3953.9884"
12153,"6561.7442"
17742,"4639.1547"
29914,"6671.2946"
17050,"4968.3342"
20425,"4550.6774"
12816,"4965.8902"
12342,"7556.1207"
21945,"5399.8036"
29923,"493816.8809"
14216,"6247.5797"
19951,"6653.8902"
17777,"4618.1597"
19559,"6692.5541"
29821,"119231.7975"
11907,"8989.5397"
29950,"449023.1024"
13011,"7535.1147"
29911,"144435.8847"
11307,"6590.4632"
19949,"6689.9132"
18710,"6738.9310"
15589,"4880.0995"
27662,"6627.0497"
29550,"244854.0475"
23486,"5904.2692"
30085,"4936.1176"
29498,"5835.0520"
22926,"4349.8795"
14146,"7459.3689"
16565,"7960.0444"
12771,"6528.6163"
29940,"443136.5854"
12078,"6602.6292"
12687,"7520.0440"
20988,"4550.6774"
29828,"178184.8558"
13051,"7549.0724"
29958,"173851.9306"
14855,"4153.7815"
29936,"5314.3892"
15192,"4844.4065"
19601,"5872.2463"
29128,"4806.3191"
18241,"6694.3221"
30022,"35940.1377"
14039,"7522.9818"
29873,"45166.9405"
15685,"7943.1490"
12926,"5298.8176"
25978,"6423.4203"
14214,"6364.6545"
19562,"5872.2463"
26014,"5208.2297"
12859,"6261.1728"
16313,"5509.1544"
11568,"7502.3530"
15014,"4266.2610"
14830,"9222.6395"
16686,"4594.2917"
14952,"4589.3413"
19963,"6689.9132"
15127,"5726.9163"
15395,"5281.9221"
28197,"3953.9884"
11896,"8970.3570"
15087,"6538.5503"
20616,"6732.9861"
18158,"7590.9219"
13287,"5263.4908"
17512,"4608.4468"
13251,"7563.0822"
12130,"8826.6403"
15100,"7682.6037"
26319,"4924.0328"
26090,"6430.0503"
21659,"4578.8328"
22930,"5415.2515"
13580,"8050.5549"
12300,"14633.1836"
30057,"5734.4915"
12266,"4863.5466"
26534,"4961.9800"
22976,"6598.3197"
23106,"4371.3939"
20423,"4616.4028"
24459,"4376.9410"
23544,"4387.9689"
13016,"5318.7187"
14823,"4853.9778"
13907,"5079.1906"
12237,"4939.7806"
13429,"5068.6710"
23730,"5335.0616"
28158,"6627.0497"
30103,"725867.1659"
20447,"6669.3381"
27280,"4914.0989"
13910,"5001.8074"
28017,"3953.9884"
19264,"4566.1253"
15638,"5704.4189"
20225,"6692.5541"
29727,"201885.6157"
29564,"320894.2050"
11080,"9065.4422"
23526,"3938.0433"
11097,"8949.4282"
13725,"5008.4374"
11345,"4866.5176"
14150,"7409.6770"
15566,"5428.2794"
29904,"340132.1268"
27291,"4923.3161"
20219,"6679.2720"
18708,"6692.4436"
17725,"5192.1299"
12526,"5778.4630"
18160,"7640.6248"
14259,"4012.1758"
15047,"7369.8750"
11916,"9037.2537"
12918,"5263.4908"
13357,"5020.9350"
16821,"7979.5918"
29813,"54905.1516"
12670,"7497.5668"
21559,"5415.2515"
12780,"6564.2968"
29972,"69515.4239"
15152,"4933.3480"
29560,"356524.0763"
29833,"6496.4491"
12441,"6492.4828"
27918,"6628.4641"
29570,"61854.5431"
13351,"4946.5906"
16431,"5270.1898"
28259,"6761.0641"
26082,"6373.6953"
12301,"14691.3950"
11540,"6583.7890"
26016,"5175.0466"
14300,"5881.6163"
18239,"6663.8241"
12827,"4929.8466"
21958,"5189.6243"
19556,"6669.3381"
20993,"4709.5543"
12122,"5319.5143"
11528,"6585.4796"
15044,"4202.9319"
11457,"9073.6855"
12520,"6541.3017"
28667,"4829.5241"
17728,"5226.6832"
13403,"5059.2674"
28041,"3953.9884"
12193,"5340.4982"
28630,"3953.9884"
23121,"4579.4958"
20817,"4550.6774"
29757,"65505.3258"
12246,"4361.7113"
20228,"6732.9861"
11124,"8982.5672"
12934,"5029.4435"
23431,"4594.9437"
12755,"6628.5857"
20159,"4604.7892"
17766,"4552.3210"
28647,"3953.9884"
11470,"4800.2176"
19950,"6738.8868"
15925,"6525.9202"
28340,"3953.9884"
11007,"9073.1551"
15924,"6347.1228"
21348,"4853.1802"
12446,"6568.9267"
28827,"3953.9884"
29979,"38649.3061"
28763,"3953.9884"
15647,"4159.2955"
29174,"4789.7331"
29970,"30177.3446"
13269,"4980.8124"
23113,"6627.0497"
28621,"3953.9884"
24476,"3938.0433"
18766,"5251.7888"
28176,"3953.9884"
12884,"6520.1078"
21568,"5149.0818"
15106,"9305.5145"
23658,"4349.8795"
15028,"4228.1716"
22854,"5149.1923"
13591,"9232.5735"
12353,"7475.8330"
12631,"11933.4697"
19966,"6653.8902"
24671,"4811.8331"
16551,"5561.1999"
24458,"4579.4958"
19947,"6692.4436"
13647,"7506.4289"
21899,"5153.4908"
29947,"248869.8958"
17510,"4828.5628"
12669,"7504.1637"
29925,"182777.7771"
16308,"5029.4324"
19598,"5868.1357"
16575,"7729.0027"
11816,"6556.2413"
14323,"5770.3317"
15029,"4228.1716"
14947,"7357.7310"
29719,"8614.0445"
12463,"5748.4528"
23114,"6625.9337"
19957,"6669.3381"
12921,"5307.6797"
21943,"5110.5284"
22732,"4567.2303"
27574,"4924.0328"
11462,"8968.5447"
11942,"5295.4805"
21959,"5196.1438"
16495,"6632.4642"
13581,"9254.1431"
27195,"4923.3161"
28646,"3953.9884"
14140,"4859.5138"
11488,"8939.8147"
28131,"6642.4976"
13997,"5067.9164"
11779,"6489.9524"
12216,"7685.7277"
25905,"5081.7072"
13447,"5009.5424"
29985,"70217.2163"
20418,"4649.0003"
11598,"5026.3131"
28273,"6588.3858"
28799,"3953.9884"
30084,"9336.9338"
14225,"6192.3297"
11046,"7311.5752"
28088,"3953.9884"
29986,"40188.4765"
29706,"169271.0046"
13644,"7585.2280"
21222,"4349.8795"
18491,"6692.5541"
15684,"7694.1952"
30056,"158661.4517"
12151,"6514.2403"
21894,"5110.5284"
11812,"6520.1078"
17504,"4820.8278"
13400,"5048.1953"
12950,"5260.1537"
27279,"4961.9800"
14976,"7779.8769"
13462,"5036.6039"
11241,"12673.4532"
29132,"3953.9884"
29850,"8381.6941"
13543,"6545.1692"
21272,"4901.0945"
12999,"7558.7079"
17295,"4853.9778"
16660,"6517.5774"
14713,"7140.1896"
11946,"5190.5277"
16518,"5192.1299"
29004,"4774.2852"
29689,"600077.2722"
15723,"4910.6955"
29955,"421079.0580"
12212,"6517.5774"
14226,"6250.1449"
20623,"6732.9861"
29350,"3953.9884"
18908,"6730.1020"
20622,"6784.2470"
14428,"9195.0476"
30047,"32609.6356"
18461,"5246.8053"
11988,"8926.2122"
12180,"6552.9042"
24482,"4290.2206"
13527,"5004.5873"
29915,"194043.4591"
20375,"4904.4095"
29998,"399980.8799"
23539,"4579.4958"
12621,"7150.6871"
29918,"141699.9890"
21256,"4328.8845"
28078,"6642.4976"
30004,"122815.4725"
29758,"4512.0247"
13653,"5024.2058"
30027,"25454.6959"
28772,"3953.9884"
20609,"6760.0475"
11690,"6524.1742"
12279,"6601.5242"
26602,"4937.3149"
29166,"4789.7331"
14824,"4907.5813"
29559,"499815.3125"
19791,"6694.3221"
20995,"4560.6113"
26729,"4908.5849"
12316,"7513.3919"
20812,"4560.6113"
13823,"5959.6076"
29996,"322801.3294"
22988,"4634.7347"
11817,"6517.5774"
28013,"3953.9884"
30009,"140787.7392"
29016,"3953.9884"
25866,"5087.2212"
13563,"6572.7942"
16029,"4207.1766"
15171,"4853.1802"
21986,"4290.2206"
12523,"6556.2413"
16409,"5442.3129"
16528,"5192.1299"
14125,"4168.5127"
26096,"6457.1118"
11612,"7508.6057"
11979,"5319.2049"
12736,"4928.7195"
11358,"5563.4320"
12228,"4863.5466"
19599,"5833.5824"
14130,"4214.5344"
28831,"3953.9884"
22207,"5438.4675"
15054,"4591.5182"
13354,"4970.8785"
22041,"4604.7892"
13646,"7562.1762"
29806,"10778.5100"
28255,"6686.6976"
16569,"4349.8795"
28297,"6598.3197"
16685,"4622.4692"
11484,"5508.8445"
13903,"4985.2545"
26060,"6402.4253"
12243,"4326.053"
23649,"4359.8135"
19795,"6679.2720"
11029,"7254.6456"
29865,"77139.5923"
14424,"7733.7432"
28648,"3953.9884"
29746,"205886.8086"
29676,"14203.9081"
18260,"6669.3381"
17983,"6391.7206"
22195,"5425.1854"
14046,"6237.9898"
14011,"4234.2381"
20256,"6662.6749"
14234,"6284.9302"
12277,"6261.5042"
28194,"6756.8651"
28666,"5328.4316"
12291,"8915.0291"
12314,"8837.7012"
14598,"5347.0950"
14673,"5655.1134"
21727,"4566.1253"
18249,"6679.2720"
18252,"6653.8902"
11895,"9004.6893"
19576,"6694.3221"
27439,"4930.6849"
29952,"8669.5054"
19094,"6653.8902"
26050,"5110.4372"
29518,"13921.0304"
29659,"49438.7051"
16412,"5438.3570"
29562,"665292.3810"
19594,"6653.8902"
16388,"5164.6402"
17478,"5257.8553"
12702,"7636.7636"
18931,"6696.8526"
29524,"204728.0888"
11933,"6556.2524"
19555,"6752.2131"
29866,"45690.8544"
30013,"16897.7220"
16351,"6489.9524"
16433,"5189.6243"
27446,"4937.3149"
12634,"7500.4744"
29720,"167479.4606"
16516,"5230.7938"
22901,"6598.3197"
13119,"7546.5419"
23107,"4305.6685"
22927,"4324.7739"
20227,"6689.9132"
11696,"6489.9524"
16693,"6696.8526"
23378,"5875.5392"
19614,"6870.0171"
13133,"7528.4957"
15652,"5701.8885"
28770,"4812.9491"
26012,"6402.4253"
28989,"3953.9884"
22995,"6696.8526"
16159,"4874.8729"
12442,"6520.1078"
28288,"6673.4266"
16424,"6340.9128"
18208,"6669.3381"
19095,"6692.5541"
13948,"5041.0460"
27092,"4994.0029"
13873,"5266.0212"
23351,"5335.0616"
27201,"4964.3764"
19609,"6732.9861"
11224,"7387.5770"
13001,"7513.3683"
13895,"5037.1674"
12991,"6234.2976"
13348,"5099.6110"
26537,"4937.3149"
29592,"121101.8185"
11001,"7054.1875"
11625,"6534.1413"
30060,"164824.0728"
11134,"5427.5723"
29973,"34242.4910"
18243,"6694.3221"
13976,"4985.2545"
29628,"163865.4832"
11340,"4876.4294"
28857,"3953.9884"
26011,"6373.6953"
11485,"7788.3716"
20158,"4589.3413"
19612,"6662.6749"
18277,"6708.0020"
28394,"5033.7944"
29279,"4859.3260"
28825,"3953.9884"
11461,"8938.3893"
18147,"7658.3048"
11433,"14265.1836"
24462,"3997.7022"
13456,"5063.6764"
28246,"6603.8337"
16828,"7936.8394"
14668,"5764.4421"
13994,"5004.2684"
29108,"3953.9884"
26328,"4992.5539"
18196,"4567.2303"
29681,"14400.5708"
22748,"4628.0053"
21169,"5135.9102"
26005,"5109.3322"
18716,"6653.8902"
12275,"4901.0945"
29520,"48061.4725"
11549,"7761.2660"
14345,"4022.1098"
11382,"4800.2176"
15756,"4907.7356"
26004,"5192.1851"
28846,"4774.2852"
15846,"5462.3687"
13283,"4970.8785"
11893,"8975.9483"
12004,"8966.0143"
15187,"5221.4786"
29163,"3953.9884"
27296,"4992.9090"
25997,"5109.3322"
11302,"6561.7000"
13908,"5210.4397"
17107,"4618.1597"
27605,"3953.9884"
13000,"7513.3919"
14984,"7403.0249"
15438,"4186.4910"
29497,"789884.2937"
11372,"5487.2201"
12459,"6208.4863"
17945,"4376.9410"
13230,"5420.3787"
30012,"12778.5771"
23524,"3976.7072"
15120,"5765.5566"
29236,"4784.2191"
17049,"4804.2749"
28018,"3953.9884"
28221,"3953.9884"
12547,"6517.5774"
29601,"302983.1192"
11451,"9115.6865"
11033,"7177.2955"
17735,"5251.7888"
23566,"3953.9884"
15056,"7457.7003"
16297,"7613.0219"
26089,"6406.8343"
13728,"5392.1791"
29670,"34882.5240"
12171,"6612.0328"
13784,"7887.6006"
12986,"5329.4261"
12297,"8864.9491"
18495,"6653.8902"
11591,"6514.2403"
17784,"4300.1545"
16475,"5164.6402"
23651,"4328.8845"
20621,"6760.0475"
16026,"4203.5065"
29928,"103991.2657"
29903,"16240.9640"
12777,"6520.1078"
12397,"5489.6823"
17308,"6653.8902"
17928,"4328.8845"
11550,"5791.7783"
15135,"4841.4356"
24480,"4614.0491"
22903,"6689.9132"
21168,"5110.5284"
14275,"5699.9970"
21968,"5218.7852"
21768,"4550.6774"
11227,"6530.7932"
13666,"6520.1078"
15876,"5291.8671"
28065,"6627.0497"
11536,"6536.6718"
12450,"6580.5292"
12770,"6567.5676"
14322,"5648.1394"
21976,"4639.1547"
16027,"4228.1716"
29252,"4850.4970"
14308,"5680.1402"
13767,"6530.7932"
19565,"5865.6053"
12437,"6611.4582"
30113,"307946.0796"
27073,"4898.6510"
12764,"4804.2749"
15676,"7983.2715"
29169,"3953.9884"
13542,"6567.2803"
29878,"33032.3816"
14159,"6552.9042"
28257,"6603.8337"
13978,"5276.7066"
12521,"4904.4095"
28665,"5362.1231"
11452,"9042.2593"
13115,"7491.2572"
13600,"9348.5764"
15435,"4200.5356"
12713,"4907.7245"
15619,"6528.6163"
28988,"3953.9884"
29826,"7834.8172"
29944,"8701.4222"
29403,"4411.0938"
14716,"5856.7874"
18198,"4578.2913"
28629,"3953.9884"
13112,"6318.2666"
11480,"5453.5725"
13135,"7484.3178"
12173,"6551.7992"
19785,"6714.6541"
12021,"4468.0234"
11765,"8998.0483"
19613,"6732.9861"
